wavelength,White ,Red,FarRed,RoyalBlue,Blue ,Cyan
380,0.00300256412963,0.000111784286237,0.000158671088893,-0.000430792499068,-3.11197709148812E-05,-0.000316357978694
382,0.003187190511462,0.000239031243444,0.000135716204677,0.00012561474448,6.04947405877904E-05,-6.14978622635522E-05
384,0.002432927323238,-6.35432008952306E-05,6.0130508006005E-05,4.08136289901109E-05,-0.000117932488344,-0.000119888040747
386,0.002415608977575,0.000207116526261,0.000182273480742,0.0003591820642,8.64891533536128E-05,-0.000175846626948
388,0.002621299654023,2.03201010890145E-05,0.000224976683781,0.000352391766397,-8.48540853295083E-05,-0.000143768554682
390,0.002509499614305,-6.00042612666438E-05,0.000221448368676,0.000578108662137,0,-0.000339633188999
392,0.002756879480106,0.000118487897726,0.000151367816955,0.000304417846724,8.24649948028571E-05,-0.000167664852933
394,0.002936550252044,9.77508561551602E-05,0.000122101299489,0.000565066035128,2.7212986303192E-05,-0.000359635004192
396,0.002982103248173,-9.6985203544412E-05,0.000209250311683,0.000635392051456,2.69998352902104E-05,-0.00013723772808
397,0.003031772438459,-1.92769645169067E-05,0.000229844956287,0.000594314066724,-0.000107330777857,-0.000381886865735
399,0.003219586795081,7.67129312315253E-05,0.000119778344653,0.001293403433968,0.000213562113826,-0.000244241317507
401,0.004317918364727,1.90895860801277E-05,0.00027638452792,0.001765611415441,5.314374369341E-05,-0.00035116231407
403,0.005573716918607,0,0.000113275296647,0.002269958630177,0.000185136714076,-0.000161319981089
405,0.007148228857428,0,0.000284406579002,0.003642286533789,0.000210490429212,0.000106990387079
407,0.009727420668746,5.6361609431832E-05,0.000149336924272,0.005973150461381,0.000313811615739,0.000186092216912
409,0.014170930386676,0,0.000153534861199,0.009954033802178,0.000415343657842,0.000263894294919
411,0.020970690319006,3.69691741149552E-05,1.57426575140898E-05,0.015351273249833,0.000514594791494,0.000523127784355
412,0.029962889553072,9.14546975255069E-05,8.82738308922702E-05,0.023790149171853,0.000814726099888,0.000569412153491
414,0.042336897539692,-0.000180678950672,0.000153877759432,0.036137848441367,0.001056288344364,0.000767002629144
416,0.058560805915557,1.78166543559378E-05,0.000288302262166,0.053075369135063,0.001661600426422,0.000907604611342
418,0.079099788017562,0.000105239300808,9.95872497868847E-05,0.075672516416362,0.002221742554946,0.000992783917539
420,0.104992511895655,0.000258622536104,0.000181102260374,0.105979817956126,0.00280793213043,0.001073484608291
422,0.135916460085166,0.000118485123705,0.000158572095685,0.144160219418556,0.00440588371285,0.001173626493116
424,0.173135437201193,3.32008201864868E-05,0.000193218948035,0.190675686086466,0.006192688691976,0.001315451626185
426,0.216289565609023,-8.13479410091121E-05,0.000152418449802,0.243775576189015,0.008537752254179,0.001404347010073
428,0.265180633998813,-0.000159404165009,9.05058601256837E-05,0.301226530060611,0.011915152027518,0.001466158962851
429,0.320700036640584,0.00020305124853,1.7736557980721E-05,0.361793106845552,0.016588705128075,0.001878664703618
431,0.380560284389044,0.000183750235926,6.08585687670153E-05,0.424319630899756,0.022998194445998,0.001906765870135
433,0.44379747857426,7.51288067417266E-05,0.000191953502174,0.49237505290453,0.031435553013936,0.0020198919124
435,0.507637884784335,4.42926286982354E-05,0.000188612188584,0.569350590494673,0.042150380450783,0.002193651019833
