wavelength,deepred,farred,red,white
603,0.0038,0.0032,0.0622,0.2069
604,0.0042,0.003,0.0689,0.2025
605,0.0047,0.0028,0.0763,0.1979
606,0.0052,0.0027,0.0851,0.1933
607,0.0058,0.0026,0.0943,0.1884
608,0.0064,0.0026,0.1038,0.1833
609,0.007,0.0025,0.115,0.1783
610,0.0078,0.0025,0.1287,0.1736
611,0.0086,0.0024,0.1426,0.1687
612,0.0094,0.0024,0.158,0.1638
613,0.0104,0.0023,0.177,0.1593
614,0.0115,0.0022,0.1992,0.1553
615,0.0125,0.002,0.222,0.1515
616,0.0137,0.0018,0.2485,0.148
617,0.0152,0.0017,0.2818,0.1445
618,0.0168,0.0017,0.32,0.1413
619,0.0185,0.0016,0.3624,0.1383
620,0.0204,0.0016,0.4103,0.1354
621,0.0227,0.0017,0.467,0.1326
622,0.0251,0.0019,0.5402,0.1301
623,0.0278,0.0022,0.6192,0.1278
624,0.0309,0.0024,0.6907,0.1255
625,0.0344,0.0024,0.7644,0.1233
626,0.0381,0.0023,0.8526,0.1212
627,0.0423,0.0023,0.9294,0.1191
628,0.0472,0.0023,0.9708,0.117
629,0.0524,0.0022,0.9922,0.1148
630,0.058,0.0022,0.9991,0.1127
631,0.0646,0.0023,0.987,0.1105
632,0.0722,0.0023,0.9464,0.1083
633,0.0801,0.0025,0.8657,0.106
634,0.0889,0.0027,0.7688,0.1037
635,0.0994,0.0028,0.6824,0.1013
636,0.1115,0.0029,0.5952,0.099
637,0.1246,0.0031,0.4924,0.0967
638,0.1392,0.0032,0.3955,0.0943
639,0.156,0.0033,0.3235,0.092
640,0.1746,0.0033,0.2653,0.0896
641,0.1948,0.0033,0.2152,0.0873
642,0.2166,0.0033,0.1717,0.0849
643,0.2393,0.0034,0.1369,0.0827
644,0.2629,0.0035,0.1132,0.0804
645,0.2883,0.0037,0.0951,0.0782
646,0.3165,0.0039,0.0768,0.0761
647,0.3468,0.0042,0.061,0.0741
648,0.3791,0.0045,0.05,0.0722
649,0.414,0.0048,0.0408,0.0703
650,0.4542,0.0052,0.0316,0.0684
651,0.5061,0.0057,0.0254,0.0666
652,0.5609,0.0062,0.0212,0.0649
653,0.6078,0.0067,0.0172,0.0632
654,0.6531,0.0074,0.0136,0.0614
655,0.7064,0.008,0.0116,0.0597
656,0.7494,0.0088,0.0103,0.0579
657,0.7647,0.0096,0.0085,0.0563
658,0.7593,0.0104,0.0071,0.0547
659,0.7401,0.0112,0.0061,0.0531
660,0.7091,0.0122,0.0052,0.0515
661,0.6598,0.0132,0.0043,0.05
662,0.5805,0.0143,0.0036,0.0485
663,0.4927,0.0155,0.003,0.0471
664,0.4195,0.0168,0.0025,0.0456
665,0.3488,0.0181,0.002,0.0441
666,0.2724,0.0196,0.0017,0.0427
667,0.2039,0.0212,0.0014,0.0413
668,0.155,0.023,0.001,0.0399
669,0.1194,0.0248,8e-4,0.0386
670,0.0918,0.0268,5e-4,0.0373
671,0.068,0.029,3e-4,0.036
672,0.0497,0.0313,2e-4,0.0349
673,0.0403,0.0337,1e-4,0.0338
674,0.034,0.0363,0,0.0327
675,0.0258,0.0393,0,0.0317
676,0.0199,0.0425,0,0.0306
677,0.0168,0.0458,0,0.0297
678,0.014,0.0495,0,0.0287
679,0.0105,0.0536,0,0.0277
680,0.0085,0.0579,0,0.0266
681,0.0072,0.0625,0,0.0256
682,0.0057,0.0676,0,0.0246
683,0.0045,0.0731,0,0.0237
684,0.0039,0.0788,0,0.0227
685,0.0033,0.0852,0,0.0219
686,0.0026,0.0922,0,0.0211
687,0.0022,0.0995,0,0.0206
688,0.0019,0.1073,0,0.02
689,0.0016,0.1161,0,0.0195
690,0.0013,0.1255,0,0.0188
691,0.0011,0.1356,0,0.0182
692,9e-4,0.1465,0,0.0177
693,7e-4,0.1584,0,0.017
